"Date","Price","Open","High","Low","Vol.","Change %"
"07-06-2024","17.50","17.25","17.50","17.24","3.95M","1.42%"
"06-06-2024","17.25","17.74","17.77","17.12","4.46M","-2.73%"
"05-06-2024","17.74","17.72","18.08","17.63","3.82M","0.07%"
"04-06-2024","17.72","17.63","17.84","17.49","3.31M","0.53%"
"03-06-2024","17.63","18.15","18.35","17.55","3.88M","-2.88%"
"02-06-2024","18.15","18.44","18.56","18.07","2.39M","-1.57%"
"01-06-2024","18.44","18.41","18.67","18.27","2.27M","0.15%"
"31-05-2024","18.42","17.94","18.73","17.48","4.21M","2.63%"
"30-05-2024","17.94","18.46","19.19","17.80","4.98M","-2.80%"
"29-05-2024","18.46","18.54","19.21","18.05","5.61M","-0.40%"
"28-05-2024","18.54","18.78","18.83","17.88","7.01M","-1.32%"
"27-05-2024","18.78","17.04","18.86","16.89","7.03M","10.21%"
"26-05-2024","17.04","17.44","17.89","17.03","4.28M","-2.30%"
"25-05-2024","17.44","17.25","17.47","16.93","3.46M","1.15%"
"24-05-2024","17.25","16.60","17.77","16.57","9.20M","3.86%"
"23-05-2024","16.60","16.36","16.80","15.53","7.45M","1.52%"
"22-05-2024","16.36","16.74","16.92","16.18","5.45M","-2.29%"
"21-05-2024","16.74","17.26","17.42","16.51","7.25M","-3.05%"
"20-05-2024","17.27","16.56","17.45","16.38","8.05M","4.24%"
"19-05-2024","16.56","16.33","17.10","16.30","6.11M","1.52%"
"18-05-2024","16.32","16.23","16.55","16.05","4.53M","0.44%"
"17-05-2024","16.24","15.52","16.73","15.49","11.09M","4.65%"
"16-05-2024","15.52","13.88","15.84","13.55","9.32M","11.81%"
"15-05-2024","13.88","12.98","13.94","12.84","4.45M","7.00%"
"14-05-2024","12.98","13.39","13.60","12.94","4.16M","-3.06%"
"13-05-2024","13.39","13.56","13.67","13.08","4.04M","-1.25%"
"12-05-2024","13.56","13.31","13.59","13.29","1.91M","1.86%"
"11-05-2024","13.31","13.56","13.81","13.28","2.55M","-1.90%"
"10-05-2024","13.56","14.24","14.37","13.50","4.20M","-4.72%"
"09-05-2024","14.24","13.90","14.36","13.84","3.67M","2.45%"
"08-05-2024","13.90","14.00","14.11","13.70","4.18M","-0.78%"
"07-05-2024","14.00","14.48","14.71","13.98","4.11M","-3.31%"
"06-05-2024","14.48","14.37","15.16","14.28","4.77M","0.77%"
"05-05-2024","14.37","14.32","14.65","14.11","2.64M","0.40%"
"04-05-2024","14.32","14.09","14.47","13.98","3.49M","1.58%"
"03-05-2024","14.09","13.59","14.20","13.47","3.67M","3.74%"
"02-05-2024","13.59","13.35","13.77","12.94","4.06M","1.79%"
"01-05-2024","13.35","13.13","13.49","12.43","7.03M","1.63%"
"30-04-2024","13.13","14.07","14.20","12.82","5.40M","-6.67%"
"29-04-2024","14.07","13.81","14.18","13.74","3.70M","1.87%"
"28-04-2024","13.81","14.27","14.44","13.74","2.89M","-3.12%"
"27-04-2024","14.26","14.48","14.53","13.88","4.26M","-1.57%"
"26-04-2024","14.48","14.59","14.93","14.36","4.27M","-0.74%"
"25-04-2024","14.59","14.54","14.90","14.38","5.19M","0.38%"
"24-04-2024","14.54","15.18","15.64","14.37","5.86M","-4.25%"
"23-04-2024","15.18","15.45","15.57","15.10","3.99M","-1.69%"
"22-04-2024","15.44","15.10","16.03","15.02","5.93M","2.28%"
"21-04-2024","15.10","14.96","15.13","14.54","3.51M","0.96%"
"20-04-2024","14.96","13.94","15.03","13.76","4.68M","7.36%"
"19-04-2024","13.93","13.89","14.10","12.78","8.46M","0.34%"
"18-04-2024","13.88","13.14","13.97","12.83","6.04M","5.70%"
"17-04-2024","13.14","13.47","13.60","12.74","6.93M","-2.46%"
"16-04-2024","13.47","13.58","13.81","12.82","7.08M","-0.80%"
"15-04-2024","13.58","14.09","14.65","13.24","9.66M","-3.62%"
"14-04-2024","14.09","13.27","14.24","12.73","12.97M","6.19%"
"13-04-2024","13.27","15.16","15.39","11.95","17.28M","-12.48%"
"12-04-2024","15.16","17.55","17.87","13.60","14.15M","-13.65%"
"11-04-2024","17.55","17.42","17.62","17.01","3.18M","0.79%"
"10-04-2024","17.42","17.36","17.58","16.91","4.83M","0.30%"
